Ceremony Year	Film	Award	Director	Director Birth Year
1996	A Close Shave	Academy Award for Best Animated Short Film	Nick Park	1958
1996	Anne Frank Remembered	Academy Award for Best Documentary Feature Film	Jon Blair	1950
1996	Antonia's Line	Academy Award for Best International Feature Film	Marleen Gorris	1948
1996	Apollo 13	Academy Award for Best Film Editing	Ron Howard	1954
1996	Apollo 13	Academy Award for Best Sound	Ron Howard	1954
1996	Babe	Academy Award for Best Visual Effects	Chris Noonan	1952
1996	Braveheart	Academy Award for Best Cinematography	Mel Gibson	1956
1996	Braveheart	Academy Award for Best Director	Mel Gibson	1956
1996	Braveheart	Academy Award for Best Makeup and Hairstyling	Mel Gibson	1956
1996	Braveheart	Academy Award for Best Picture	Mel Gibson	1956
1996	Braveheart	Academy Award for Best Sound Editing	Mel Gibson	1956
1996	Dead Man Walking	Academy Award for Best Actress	Tim Robbins	1958
1996	Il Postino: The Postman	Academy Award for Best Original Dramatic Score	Michael Radford	1946
1996	Leaving Las Vegas	Academy Award for Best Actor	Mike Figgis	1948
1996	Lieberman in Love	Academy Award for Best Live Action Short Film	Christine Lahti	1950
1996	Mighty Aphrodite	Academy Award for Best Supporting Actress	Woody Allen	1935
1996	Pocahontas	Academy Award for Best Original Musical or Comedy Score	Eric Goldberg	1955
1996	Pocahontas	Academy Award for Best Original Musical or Comedy Score	Mike Gabriel	1954
1996	Restoration	Academy Award for Best Costume Design	Michael Hoffman	1956
1996	Restoration	Academy Award for Best Production Design	Michael Hoffman	1956
1996	Sense and Sensibility	Academy Award for Best Writing, Adapted Screenplay	Ang Lee	1954
1997	Dear Diary	Academy Award for Best Live Action Short Film	David Frankel	1959
1997	Emma	Academy Award for Best Original Musical Score	Douglas McGrath	1958
1997	Emma	Academy Award for Best Original Musical or Comedy Score	Douglas McGrath	1958
1997	Fargo	Academy Award for Best Actress	Joel Coen	1954
1997	Fargo	Academy Award for Best Actress	Ethan Coen	1957
1997	Fargo	Academy Award for Best Writing, Original Screenplay	Joel Coen	1954
1997	Fargo	Academy Award for Best Writing, Original Screenplay	Ethan Coen	1957
1997	Independence Day	Academy Award for Best Visual Effects	Roland Emmerich	1955
1997	Jerry Maguire	Academy Award for Best Supporting Actor	Cameron Crowe	1957
1997	Shine	Academy Award for Best Actor	Scott Hicks	1953
1997	Sling Blade	Academy Award for Best Writing, Adapted Screenplay	Billy Bob Thornton	1955
1997	The English Patient	Academy Award for Best Cinematography	Anthony Minghella	1954
1997	The English Patient	Academy Award for Best Costume Design	Anthony Minghella	1954
1997	The English Patient	Academy Award for Best Director	Anthony Minghella	1954
1997	The English Patient	Academy Award for Best Film Editing	Anthony Minghella	1954
1997	The English Patient	Academy Award for Best Original Dramatic Score	Anthony Minghella	1954
1997	The English Patient	Academy Award for Best Picture	Anthony Minghella	1954
1997	The English Patient	Academy Award for Best Production Design	Anthony Minghella	1954
1997	The English Patient	Academy Award for Best Sound	Anthony Minghella	1954
1997	The English Patient	Academy Award for Best Supporting Actress	Anthony Minghella	1954
1997	The Ghost and the Darkness	Academy Award for Best Sound Editing	Stephen Hopkins	1958
1997	The Nutty Professor	Academy Award for Best Makeup and Hairstyling	Tom Shadyac	1958
1997	When We Were Kings	Academy Award for Best Documentary Feature Film	Leon Gast	1936
1998	As Good as It Gets	Academy Award for Best Actor	James L. Brooks	1940
1998	As Good as It Gets	Academy Award for Best Actress	James L. Brooks	1940
1998	Character	Academy Award for Best International Feature Film	Mike van Diem	1959
1998	Good Will Hunting	Academy Award for Best Supporting Actor	Gus Van Sant	1952
1998	Good Will Hunting	Academy Award for Best Writing, Original Screenplay	Gus Van Sant	1952
1998	L.A. Confidential	Academy Award for Best Supporting Actress	Curtis Hanson	1945
1998	L.A. Confidential	Academy Award for Best Writing, Adapted Screenplay	Curtis Hanson	1945
1998	Men in Black	Academy Award for Best Makeup and Hairstyling	Barry Sonnenfeld	1953
1998	The Long Way Home	Academy Award for Best Documentary Feature Film	Mark Jonathan Harris	1941
1998	Titanic	Academy Award for Best Cinematography	James Cameron	1954
1998	Titanic	Academy Award for Best Costume Design	James Cameron	1954
1998	Titanic	Academy Award for Best Director	James Cameron	1954
1998	Titanic	Academy Award for Best Film Editing	James Cameron	1954
1998	Titanic	Academy Award for Best Original Dramatic Score	James Cameron	1954
1998	Titanic	Academy Award for Best Original Song	James Cameron	1954
1998	Titanic	Academy Award for Best Picture	James Cameron	1954
1998	Titanic	Academy Award for Best Production Design	James Cameron	1954
1998	Titanic	Academy Award for Best Sound	James Cameron	1954
1998	Titanic	Academy Award for Best Sound Editing	James Cameron	1954
1998	Titanic	Academy Award for Best Visual Effects	James Cameron	1954
1999	Affliction	Academy Award for Best Supporting Actor	Paul Schrader	1946
1999	Bunny	Academy Award for Best Animated Short Film	Chris Wedge	1957
1999	Elizabeth	Academy Award for Best Makeup and Hairstyling	Shekhar Kapur	1945
1999	Gods and Monsters	Academy Award for Best Writing, Adapted Screenplay	Bill Condon	1955
1999	Life Is Beautiful	Academy Award for Best Actor	Roberto Benigni	1952
1999	Life Is Beautiful	Academy Award for Best International Feature Film	Roberto Benigni	1952
1999	Life Is Beautiful	Academy Award for Best Original Dramatic Score	Roberto Benigni	1952
1999	Saving Private Ryan	Academy Award for Best Cinematography	Steven Spielberg	1946
1999	Saving Private Ryan	Academy Award for Best Director	Steven Spielberg	1946
1999	Saving Private Ryan	Academy Award for Best Film Editing	Steven Spielberg	1946
1999	Saving Private Ryan	Academy Award for Best Sound	Steven Spielberg	1946
1999	Saving Private Ryan	Academy Award for Best Sound Editing	Steven Spielberg	1946
1999	Shakespeare in Love	Academy Award for Best Actress	John Madden	1949
1999	Shakespeare in Love	Academy Award for Best Costume Design	John Madden	1949
1999	Shakespeare in Love	Academy Award for Best Original Musical or Comedy Score	John Madden	1949
1999	Shakespeare in Love	Academy Award for Best Picture	John Madden	1949
1999	Shakespeare in Love	Academy Award for Best Production Design	John Madden	1949
1999	Shakespeare in Love	Academy Award for Best Supporting Actress	John Madden	1949
1999	Shakespeare in Love	Academy Award for Best Writing, Original Screenplay	John Madden	1949
1999	What Dreams May Come	Academy Award for Best Visual Effects	Vincent Ward	1956
2000	All About My Mother	Academy Award for Best International Feature Film	Pedro Almodóvar	1949
