Ceremony Year	Film	Award	Director	Director Birth Year
1928	The Jazz Singer	Academy Honorary Award	Alan Crosland	1894
1928	Warner Bros. Entertainment	Academy Honorary Award		
1929	Ben Hecht	Academy Award for Best Story		
1929	Benjamin Glazer	Academy Award for Best Writing, Adapted Screenplay		
1929	Charles Rosher	Academy Award for Best Cinematography		
1929	Charlie Chaplin	Academy Honorary Award		
1929	Emil Jannings	Academy Award for Best Actor		
1929	Frank Borzage	Academy Award for Best Director (Dramatic Picture)		
1929	Janet Gaynor	Academy Award for Best Actress		
1929	Joseph Farnham	Academy Award for Best Title Writing		
1929	Karl Struss	Academy Award for Best Cinematography		
1929	King of Jazz	Academy Award for Best Production Design	Paul Fejos	1897
1929	King of Jazz	Academy Award for Best Production Design	John Murray Anderson	1886
1929	Lewis Milestone	Academy Award for Best Director (Comedy Picture)		
1929	Roy Pomeroy	Academy Award for Best Engineering Effects		
1929	Seventh Heaven	Academy Award for Best Actress	Frank Borzage	1894
1929	Seventh Heaven	Academy Award for Best Director (Dramatic Picture)	Frank Borzage	1894
1929	Seventh Heaven	Academy Award for Best Writing, Adapted Screenplay	Frank Borzage	1894
1929	Street Angel	Academy Award for Best Actress	Frank Borzage	1894
1929	Sunrise: A Song of Two Humans	Academy Award for Best Actress	F. W. Murnau	1888
1929	Sunrise: A Song of Two Humans	Academy Award for Best Cinematography	F. W. Murnau	1888
1929	Tempest	Academy Award for Best Production Design	Sam Taylor	1895
1929	Tempest	Academy Award for Best Production Design	Lewis Milestone	1895
1929	Tempest	Academy Award for Best Production Design	Victor Tourjansky	1891
1929	The Big House	Academy Award for Best Sound	George W. Hill	1895
1929	The Big House	Academy Award for Best Writing	George W. Hill	1895
1929	The Circus	Academy Honorary Award	Charlie Chaplin	1889
1929	The Divorcee	Academy Award for Best Actress	Robert Z. Leonard	1889
1929	The Dove	Academy Award for Best Production Design	Roland West	1885
1929	The Last Command	Academy Award for Best Actor	Josef von Sternberg	1894
1929	The Way of All Flesh	Academy Award for Best Actor	Victor Fleming	1889
1929	Two Arabian Knights	Academy Award for Best Director (Comedy Picture)	Lewis Milestone	1895
1929	Underworld	Academy Award for Best Story	Josef von Sternberg	1894
1929	William Cameron Menzies	Academy Award for Best Production Design		
1929	Wings	Academy Award for Best Engineering Effects	Harry d'Abbadie d'Arrast	1897
1929	Wings	Academy Award for Best Engineering Effects	William A. Wellman	1896
1929	Wings	Academy Award for Best Picture	Harry d'Abbadie d'Arrast	1897
1929	Wings	Academy Award for Best Picture	William A. Wellman	1896
1930	All Quiet on the Western Front	Academy Award for Best Director	Lewis Milestone	1895
