Ceremony Year	Film	Director	Director Birth Year	Awards Won
1996	A Close Shave	Nick Park	1958	1
1996	Anne Frank Remembered	Jon Blair	1950	1
1996	Antonia's Line	Marleen Gorris	1948	1
1996	Apollo 13	Ron Howard	1954	2
1996	Babe	Chris Noonan	1952	1
1996	Braveheart	Mel Gibson	1956	5
1996	Dead Man Walking	Tim Robbins	1958	1
1996	Il Postino: The Postman	Michael Radford	1946	1
1996	Leaving Las Vegas	Mike Figgis	1948	1
1996	Lieberman in Love	Christine Lahti	1950	1
1996	Mighty Aphrodite	Woody Allen	1935	1
1996	Pocahontas	Eric Goldberg; Mike Gabriel	1955; 1954	1
1996	Restoration	Michael Hoffman	1956	2
1996	Sense and Sensibility	Ang Lee	1954	1
1997	Dear Diary	David Frankel	1959	1
1997	Emma	Douglas McGrath	1958	2
1997	Fargo	Ethan Coen; Joel Coen	1957; 1954	2
1997	Independence Day	Roland Emmerich	1955	1
1997	Jerry Maguire	Cameron Crowe	1957	1
1997	Shine	Scott Hicks	1953	1
1997	Sling Blade	Billy Bob Thornton	1955	1
1997	The English Patient	Anthony Minghella	1954	9
1997	The Ghost and the Darkness	Stephen Hopkins	1958	1
1997	The Nutty Professor	Tom Shadyac	1958	1
1997	When We Were Kings	Leon Gast	1936	1
1998	As Good as It Gets	James L. Brooks	1940	2
1998	Character	Mike van Diem	1959	1
1998	Good Will Hunting	Gus Van Sant	1952	2
1998	L.A. Confidential	Curtis Hanson	1945	2
1998	Men in Black	Barry Sonnenfeld	1953	1
1998	The Long Way Home	Mark Jonathan Harris	1941	1
1998	Titanic	James Cameron	1954	11
1999	Affliction	Paul Schrader	1946	1
1999	Bunny	Chris Wedge	1957	1
1999	Elizabeth	Shekhar Kapur	1945	1
1999	Gods and Monsters	Bill Condon	1955	1
1999	Life Is Beautiful	Roberto Benigni	1952	3
1999	Saving Private Ryan	Steven Spielberg	1946	5
1999	Shakespeare in Love	John Madden	1949	7
1999	What Dreams May Come	Vincent Ward	1956	1
2000	All About My Mother	Pedro Almodóvar	1949	1
2000	My Mother Dreams the Satan's Disciples in New York	Barbara Schock	1955	1
2000	Sleepy Hollow	Tim Burton	1958	1
2000	The Cider House Rules	Lasse Hallström	1946	2
2000	The Old Man and the Sea	Aleksandr Petrov	1957	1
2000	Topsy-Turvy	Mike Leigh	1943	2
2001	Almost Famous	Cameron Crowe	1957	1
2001	Crouching Tiger, Hidden Dragon	Ang Lee	1954	4
2001	Dr. Seuss' How the Grinch Stole Christmas	Ron Howard	1954	1
2001	Father and Daughter	Michaël Dudok de Wit	1953	1
2001	Gladiator	Ridley Scott	1937	5
2001	Into the Arms of Strangers: Stories of the Kindertransport	Mark Jonathan Harris	1941	1
2001	Pollock	Ed Harris	1950	1
2002	A Beautiful Mind	Ron Howard	1954	4
2002	Black Hawk Down	Ridley Scott	1937	2
2002	Gosford Park	Robert Altman	1925	1
2002	Iris	Richard Eyre	1943	1
2002	Monsters, Inc.	David Silverman	1957	1
2002	The Accountant	Ray McKinnon	1957	1
2002	Thoth	Sarah Kernochan	1947	1
2003	Bowling for Columbine	Michael Moore	1954	1
2003	Frida	Julie Taymor	1952	2
2003	Spirited Away	Hayao Miyazaki	1941	1
2003	Talk to Her	Pedro Almodóvar	1949	1
2003	The Pianist	Roman Polanski	1933	3
2003	Twin Towers	Bill Guttentag	1958	1
2004	Cold Mountain	Anthony Minghella	1954	1
2004	Master and Commander: The Far Side of the World	Peter Weir	1944	1
2004	Mystic River	Clint Eastwood	1930	2
2004	The Barbarian Invasions	Denys Arcand	1941	1
2004	The Fog of War	Errol Morris	1948	1
2005	Mighty Times: The Children's March	Robert Houston	1955	1
2005	Million Dollar Baby	Clint Eastwood	1930	4
2005	Ray	Taylor Hackford	1944	2
2005	Spider-Man 2	Sam Raimi	1959	1
2005	The Aviator	Martin Scorsese	1942	5
2005	The Incredibles	Brad Bird	1957	2
2005	The Motorcycle Diaries	Walter Salles	1956	1
2006	Brokeback Mountain	Ang Lee	1954	3
2006	Crash	Paul Haggis	1953	3
2006	The Constant Gardener	Fernando Meirelles	1955	1
2006	The Moon and the Son: An Imagined Conversation	John Canemaker	1943	1
2006	Wallace & Gromit: The Curse of the Were-Rabbit	Nick Park	1958	1
2007	Dreamgirls	Bill Condon	1955	2
2007	Happy Feet	George Miller	1945	1
2007	Letters from Iwo Jima	Clint Eastwood	1930	1
2007	Little Miss Sunshine	Jonathan Dayton; Valerie Faris	1957; 1958	2
2007	The Danish Poet	Torill Kove	1958	1
2007	The Departed	Martin Scorsese	1942	4
2007	The Queen	Stephen Frears	1941	1
2008	Elizabeth: The Golden Age	Shekhar Kapur	1945	1
2008	Michael Clayton	Tony Gilroy	1956	1
2008	No Country for Old Men	Ethan Coen; Joel Coen	1957; 1954	4
2008	Ratatouille	Brad Bird	1957	1
2008	Sweeney Todd: The Demon Barber of Fleet Street	Tim Burton	1958	1
2008	Taxi to the Dark Side	Alex Gibney	1953	1
2008	The Bourne Ultimatum	Paul Greengrass	1955	3
2009	Departures	Yōjirō Takita	1955	1
2009	Milk	Gus Van Sant	1952	2
2009	Slumdog Millionaire	Danny Boyle; Loveleen Tandan	1956; 1940	7
2009	Vicky Cristina Barcelona	Woody Allen	1935	1
2010	Avatar	James Cameron	1954	3
2010	Precious	Lee Daniels	1959	2
