General Insurance business – direct,2020,2021,2022,2023
Number of policies written,,
General Accident,877,1.263,1.251,1.163
Motor,2.403,3.320,3.065,3.009
Marine,419,662,718,681
Engineering,176,356,353,305
Bond,1.249,2.520,2.635,1.767
Fire,963,1.670,1.500,1.390
Oil & Gas,51,137,123,123
Agriculture,-,7,11,2
Aviation,-,-,8,00,1,00
Total,6.138,9.935,9.664,8.441
Year on year % increase,-39,41%,61,86%,-2,73%,-12,66%
Gross written premiums (NGN'000),2020,2021,2022,2023
General Accident,339.992,446.166,394.577,438.670
Motor,715.321,620.395,687.248,906.943
Marine,276.428,296.746,262.270,231.167
Engineering,305.639,322.522,355.014,433.715
Bonds,142.648,221.421,352.399,387.111
Fire,597.512,732.991,767.655,819.265
Oil & Gas,1.571.539,1.888.875,2.049.113,2.516.607
Agriculture,-,147.892,59.817,1.827
Aviation,-,-,1.815,599
Total,3.949.079,4.677.009,4.929.908,5.735.903
Year on year % increase,2%,18%,5%,16%
