Table 5,Number of claims,Average Amount paid (NGN'000),Maximum single claim amount (NGN'000),Average payment delay (days),Maximum payment delay (days),Average payment delay (years),Maximum payment delay (years),Total Claims Paid (NGN'000)
General Accident,164,901.865,14.860.336,495,4.847,00,1,36,13,28,147.905.846
Motor,501,427.603,8.101.578,92,1.750,00,0,25,4,79,214.229.113
Marine,23,3.579.581,67.235.121,419,1.215,00,1,15,3,33,82.330.365
Engineering,49,3.457.370,80.382.157,343,1.521,00,0,94,4,17,169.411.152
Bond,3,12.818.742,21.328.353,1.577,4.481,00,4,32,12,28,38.456.225
Fire,233,1.293.040,35.839.901,251,4.615,00,0,69,12,64,301.278.283
Oil & Gas,9,56.905.019,266.674.799,1.174,3.128,00,3,22,8,57,512.145.167
Agriculture,2,359.920,674.525,267,429,00,0,73,1,18,719.840
Aviation,-,-,-,-,-,-,-,-
TOTAL,984,79.743.139,495.096.770,4.618,21.986,13,60,1.466.475.990
