(NGN'000),2019,2020,2021,2022,2023
General Accident,164.197,141.124,446.475,120.342,148.061
Motor,276.391,212.814,246.817,245.524,217.859
Marine,55.318,243.452,23.512,130.627,83.894
Engineering,49.614,36.403,54.716,23.985,166.005
Bond,1.172,-,-,24.950,38.490
Fire,717.698,461.244,254.864,340.051,299.818
Oil & Gas,160.850,734.060,273.400,45.500,512.349
AGRIC,-,-,13.417,94.888,-
Aviation,-,0,0,0,0,0
Total gross*,1.425.239,1.829.098,1.313.202,1.025.865,1.466.476
Less reinsurance recoveries,48.981,659.347,340.230,415.449,484.170
Total net claims paid,1.376.258,1.169.751,972.972,610.416,982.306
Reinsurer's share of paid claims,3%,36%,26%,40%,33%
