Class of Insurance,Claims Paid (NGN'000),2023Reported Reserves (NGN'000),IBNR (NGN'000),Incurred Claims (N'00),Earned Premium (NGN'00),2023 Estimated loss ratio,Management and Other expenses,2023Estimated combined ratio,2022 Estimated ultimate loss ratio
General Accident,148.061,118.444,53.727,320.231,421.200,76,0%,160.092,114,0%,97,6%
Motor,217.859,51.195,48.661,317.715,617.361,51,5%,275.232,96,0%,102,8%
Aviation,-,-,-,-,-,0,0%,-,0,0%,0,0%
Marine,83.894,10.335,4.364,98.592,240.081,41,1%,91.006,79,0%,121,5%
Engineering,166.005,62.000,49.445,277.450,352.027,78,8%,162.515,125,0%,43,2%
Bond,38.490,10.250,6.045,54.785,237.526,23,1%,141.887,82,8%,50,3%
Fire,299.818,131.914,41.401,473.133,804.912,58,8%,348.055,102,0%,111,3%
Oil and Gas,512.349,12.920,5.190,530.460,1.959.802,27,1%,1.003.959,78,3%,41,7%
Agriculture,-,19.000,27.456,46.456,6.684,695,1%,2.859,737,9%,301,5%
Total business,1.466.476,416.058,236.288,2.118.822,4.639.593,45,67%,2.185.605,92,78%,57,93%
