NGN'000,2021,2022,2023,Percentage change,Change in total incurred claims.
General Accident,119.088,114.540,172.171,50%,Deterioration
Motor,87.593,37.811,99.856,164%,Deterioration
Marine,24.049,96.230,14.699,-85%,Improvement
Engineering,18.477,12.020,111.445,827%,Deterioration
Bond,11.038,4.423,16.295,268%,Deterioration
Fire,185.678,58.220,173.315,198%,Deterioration
Oil & Gas,17.683,15.608,18.110,16%,Deterioration
Agriculture,6.363,21.529,46.456,116%,Deterioration
Aviation,0,59,56,Deterioration
Total Outstanding Claims,469.968,360.440,652.403,81%,Deterioration
