As at 31 December .....,EPI AS AT 31/12/2021, GWP AS AT 31/12/2023, GWP AS AT 31/12/2022
,NGN'000,NGN'000,NGN'000
Surplus,,0,
Fire Surplus,,, 
Fire WXL (net retained),,948.317,767.655
Fire,200.000,, 
Terrorism,5.000,, 
Engineering,75.000,442.353,355.014
Bond (Quota Share),45.000,387.306,352.399
Marine Cargo,30.000,, 
Marine Hull,50.000,246.320,260.241
Excess of Loss,,, 
General Accident XL,200.000,440.090,394.577
Motor XL,750.000,944.701,687.248
Oil & Gas XL,927.000,2.516.567,2.054.282
TOTAL,2.282.000,5.925.654,4.871.416
Facultative,205.000,196.350,205.000
Grand Total,2.487.000,6.122.004,5.076.416
Treaty/GWP,0,385105167,
(Treaty+ FAC)/GWP,40,62%,
