Accident Year,Largest gross claims (NGN),Largest net claims (NGN),Proportion recovered,Net Claims as % of S/H Funds,Sum of Five Largest Claims (NGN)
2015,11.343.376,3.751.913,67%,0,10%,34.389.763
2016,16.906.221,6.309.402,63%,0,20%,27.855.405
2017,12.152.701,4.603.443,62%,0,10%,19.154.690
2018,3.759.250,2.678.356,29%,0,06%,3.759.250
2019,6.621.255,6.621.255,0%,0,14%,24.786.649
2020,9.924.902,2.029.642,80%,0,04%,24.424.522
2021,18.668.231,14.841.244,21%,0,27%,35.927.150
2022,3.545.457,2.818.638,21%,0,05%,14.941.199
2023,0,0,0%,0,00%,0
Average,9.213.488,4.850.433,38%,0,11%,20.582.070
