Ceremony Year	Film	Director	Director Birth Year	Awards Won	Review
1996	A Close Shave	Nick Park	1958	1	No concerns
1996	Anne Frank Remembered	Jon Blair	1950	1	No concerns
1996	Antonia's Line	Marleen Gorris	1948	1	No concerns
1996	Apollo 13	Ron Howard	1954	2	No concerns
1996	Babe	Chris Noonan	1952	1	No concerns
1996	Braveheart	Mel Gibson	1956	5	No concerns
1996	Dead Man Walking	Tim Robbins	1958	1	No concerns
1996	Il Postino: The Postman	Michael Radford	1946	1	No concerns
1996	Leaving Las Vegas	Mike Figgis	1948	1	No concerns
1996	Lieberman in Love	Christine Lahti	1950	1	No concerns
1996	Mighty Aphrodite	Woody Allen	1935	1	No concerns
1996	Pocahontas	Eric Goldberg; Mike Gabriel	1955; 1954	1	Multi-director row; both directors and birth years parse cleanly, all < 1960.
1996	Restoration	Michael Hoffman	1956	2	No concerns
1996	Sense and Sensibility	Ang Lee	1954	1	No concerns
1997	Dear Diary	David Frankel	1959	1	No concerns
1997	Emma	Douglas McGrath	1958	2	No concerns
1997	Fargo	Ethan Coen; Joel Coen	1957; 1954	2	Multi-director row; both directors and birth years parse cleanly, all < 1960.
1997	Independence Day	Roland Emmerich	1955	1	No concerns
1997	Jerry Maguire	Cameron Crowe	1957	1	No concerns
1997	Shine	Scott Hicks	1953	1	No concerns
1997	Sling Blade	Billy Bob Thornton	1955	1	No concerns
1997	The English Patient	Anthony Minghella	1954	9	No concerns
1997	The Ghost and the Darkness	Stephen Hopkins	1958	1	No concerns
1997	The Nutty Professor	Tom Shadyac	1958	1	No concerns
1997	When We Were Kings	Leon Gast	1936	1	No concerns
1998	As Good as It Gets	James L. Brooks	1940	2	No concerns
1998	Character	Mike van Diem	1959	1	No concerns
1998	Good Will Hunting	Gus Van Sant	1952	2	No concerns
1998	L.A. Confidential	Curtis Hanson	1945	2	No concerns
1998	Men in Black	Barry Sonnenfeld	1953	1	No concerns
1998	The Long Way Home	Mark Jonathan Harris	1941	1	No concerns
1998	Titanic	James Cameron	1954	11	No concerns
1999	Affliction	Paul Schrader	1946	1	No concerns
1999	Bunny	Chris Wedge	1957	1	No concerns
1999	Elizabeth	Shekhar Kapur	1945	1	No concerns
